position,person,personID,start,end
President,Bashar al-Assad,Q44329,2000-07-17,
Vice President,Najah al-Attar,Q686595,2006-03-23,
Prime Minister,Hussein Arnous,Q60455401,2020-06-11,
Deputy Prime Minister,Fahd Jassem al-Freij,Q1392054,2012-06-23,
Deputy Prime Minister,Ali Abdullah Ayyoub,Q4724546,2020-08-30,
Minister of Defence,Ali Mahmoud Abbas,Q111748038,2022-04-28,
Minister of Finance,Kenan Yaghi,Q98807064,2020-08-30,
Minister of Foreign Affairs,Faisal Mekdad,Q5431067,2020-11-22,
Minister of Health,محمد ماهر الحسامي,Q113000799,2004,
Minister of Health,Saad Abdel-Salam al-Nayef,Q16230480,2012-08-25,
Minister of Health,Hassan al-Ghabbash,Q98798488,2020-08-30,
Minister of Internal Affairs,Mohammad Khaled al-Rahmoun,Q85874875,2018-11-26,
Speaker of the Assembly,Hammouda Sabbagh,Q41229317,2020,
Chief of the General Staff,Abdul Karim Mahmoud Ibrahim,Q113989404,2022-04-30,
